term,estimate,std.error,statistic,p.value
(Intercept),-2.669690396938017,0.12800753482142269,-20.855728537092578,1.3522319451907086e-96
type_riskFurgoneta,0.5925468005358757,0.06957767493025667,8.516335176906003,1.6468175740163238e-17
type_riskAutomovil particular,0.5466721609427226,0.06290845975833782,8.689962574870819,3.625589045995313e-18
type_riskAgricola,-3.211631692806858,1.0007494504102104,-3.209226536662498,0.001330925843130259
area_labelUrbana,0.0030485889208293525,0.02528161789770554,0.12058519882566654,0.9040195929121706
grupo_edad26-35,0.036196727082671895,0.10040251690461775,0.3605161324497346,0.718461194644006
grupo_edad36-45,-0.010963755186188761,0.10288989890492396,-0.10655812964030498,0.9151395370965058
grupo_edad46-55,0.09088333945039866,0.10565215127403627,0.8602128622508513,0.38967171580290383
grupo_edad56-65,-0.06359394500119687,0.10781159243839042,-0.5898618466055774,0.5552832749642864
grupo_edad>65,-0.09433121876444715,0.11206635562402834,-0.8417443240584995,0.3999310822725643
grupo_experiencia3-5,-0.5334991640720714,0.13479134378246663,-3.957963093928795,7.559163372314964e-5
grupo_experiencia6-10,-0.4475162533867713,0.12427102689379774,-3.6011310485847967,3.168358132021983e-4
grupo_experiencia11-20,-0.6624971783511872,0.12406348948106839,-5.339985044127601,9.295424956314955e-8
grupo_experiencia>20,-0.6663565976145768,0.12662750757586905,-5.2623368363728416,1.422358743034073e-7
grupo_potenciaMedia,0.037028145689325914,0.03423831506853705,1.0814827077560412,0.27948244864341465
grupo_potenciaAlta,0.04108762100423212,0.038465631690671194,1.0681644678201612,0.28544632963166156
grupo_potenciaMuy alta,0.027078261821661995,0.07412052032294206,0.3653274653723745,0.714866978760113
grupo_valor_vehiculoMedio-bajo,0.11329728952102919,0.03760500540804454,3.012824710212444,0.0025882837314023343
grupo_valor_vehiculoMedio-alto,0.1183457850288639,0.042416085810790496,2.79011565463113,0.00526892164627917
grupo_valor_vehiculoAlto,0.18084322248291754,0.046207815434817445,3.9136934040524394,9.089503422183983e-5
distribution_channelCorredor,0.005691230595404162,0.023798816404348097,0.2391392285527427,0.810997624083296
premium,-7.572422992108031e-4,8.967383176838216e-5,-8.444406626524874,3.055937161881055e-17
n_claims_history,0.06788624628877962,0.0035191000402792867,19.290797508385683,6.4175701315693955e-83
r_claims_history,2.219959870486275,0.022430160891541314,98.97208857398115,0
seniority,-0.016510969063810686,0.0024957143061825424,-6.6157288207663285,3.697255952685416e-11
