modelo,variable,rmse,mae,media_obs,media_pred,sesgo,aic
Poisson frecuencia,n_claims_year,5.598939591511562,0.5882300555252353,0.40754149231275566,0.44354917172522607,0.036007679412470434,126185.13395635188
Quasi-Poisson frecuencia,n_claims_year,5.598939591511562,0.5882300555252353,0.40754149231275566,0.44354917172522607,0.036007679412470434,NA
Logit ocurrencia,claim_flag,0.3114551009991257,0.19176778766040894,0.18684470355917063,0.19236028897507473,0.005515585415904098,53733.727724260025
Gamma severidad,cost_claims_year,15158.682510151846,1034.9923454956283,786.5169325616507,1084.4465947308684,297.92966216921764,237866.76875865215
Lognormal severidad,cost_claims_year,2253.1660721798085,662.6485431119033,786.5169325616507,338.431242731676,-448.08568982997474,51789.473258198814
