modelo,variable,rmse,mae,media_obs,media_pred,sesgo
Poisson x Gamma,cost_claims_year,5116509.53416436,35443.96951768128,146.95652310874982,35423.268502044324,35276.31197893557
Quasi-Poisson x Gamma,cost_claims_year,5116509.53416436,35443.96951768128,146.95652310874982,35423.268502044324,35276.31197893557
Logit x Gamma,cost_claims_year,6557.1205358141,250.92587851765722,146.95652310874982,210.94215755591293,63.9856344471631
Logit x Lognormal,cost_claims_year,989.509574255253,158.13902149723825,146.95652310874982,65.98504861118175,-80.97147449756807
